TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	x	x	x	x	x	x.xxxxxxxxx	DDD	rank
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	128	0.00	0.01 	0	0.018050482	Oct	5407
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	128	0.00	0.01 	0	0.027240335	2	5431
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	128	0.00	0.01 	0	0.036021760	3	5489
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	128	0.00	0.01 	0	0.045062594	4	5552
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	129	0.00	0.01 	0	0.056379836	5	5768
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	132	0.00	0.01 	0	0.067431988	6	5823
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	136	0.00	0.01 	0	0.078294909	7	5881
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	136	0.00	0.01 	0	0.089012145	8	5976
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	136	0.00	0.01 	0	0.136690749	12	6078
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	96	0.00	0.01 	0	0.182102794	16	6604
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	96	0.00	0.01 	0	0.222945500	20	6785
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	96	0.00	0.01 	0	0.268530375	24	7018
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	96	0.00	0.01 	0	0.315597396	28	7204
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	0	96	0.00	0.01 	0	0.349182296	31	7434
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	200	102	0.00	0.01 	0	0.363772830	Nov	6496
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	48	104	0.00	0.01 	0	0.375456381	2	7032
TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	48	104	0.00	0.01 	0	0.386892020	3	7105
